Time,Timestamp,ISO8601,Heart Rate (bpm),Lap,Since start (second)
06:09:33.548,1775214573.548,2026-04-03T06:09:33.548-0500,106,1,80
06:09:34.548,1775214574.548,2026-04-03T06:09:34.548-0500,107,1,81
06:09:35.548,1775214575.548,2026-04-03T06:09:35.548-0500,107,1,82
06:09:36.548,1775214576.548,2026-04-03T06:09:36.548-0500,108,1,83
06:09:37.548,1775214577.548,2026-04-03T06:09:37.548-0500,108,1,84
06:09:38.548,1775214578.548,2026-04-03T06:09:38.548-0500,109,1,85
06:09:39.548,1775214579.548,2026-04-03T06:09:39.548-0500,108,1,86
06:09:40.548,1775214580.548,2026-04-03T06:09:40.548-0500,107,1,87
06:09:41.548,1775214581.548,2026-04-03T06:09:41.548-0500,106,1,88
06:09:42.548,1775214582.548,2026-04-03T06:09:42.548-0500,105,1,89
06:09:43.548,1775214583.548,2026-04-03T06:09:43.548-0500,104,1,90
06:09:44.548,1775214584.548,2026-04-03T06:09:44.548-0500,104,1,91
06:09:45.548,1775214585.548,2026-04-03T06:09:45.548-0500,104,1,92
06:09:46.548,1775214586.548,2026-04-03T06:09:46.548-0500,104,1,93
06:09:47.548,1775214587.548,2026-04-03T06:09:47.548-0500,104,1,94
06:09:48.548,1775214588.548,2026-04-03T06:09:48.548-0500,104,1,95
06:09:49.548,1775214589.548,2026-04-03T06:09:49.548-0500,104,1,96
06:09:50.548,1775214590.548,2026-04-03T06:09:50.548-0500,104,1,97
06:09:51.548,1775214591.548,2026-04-03T06:09:51.548-0500,104,1,98
06:09:52.548,1775214592.548,2026-04-03T06:09:52.548-0500,104,1,99
06:09:53.548,1775214593.548,2026-04-03T06:09:53.548-0500,104,1,100
06:09:54.548,1775214594.548,2026-04-03T06:09:54.548-0500,103,1,101
06:09:55.548,1775214595.548,2026-04-03T06:09:55.548-0500,103,1,102
06:09:56.548,1775214596.548,2026-04-03T06:09:56.548-0500,103,1,103
06:09:57.548,1775214597.548,2026-04-03T06:09:57.548-0500,103,1,104
06:09:58.548,1775214598.548,2026-04-03T06:09:58.548-0500,103,1,105
06:09:59.548,1775214599.548,2026-04-03T06:09:59.548-0500,102,1,106
06:10:00.548,1775214600.548,2026-04-03T06:10:00.548-0500,102,1,107
06:10:01.548,1775214601.548,2026-04-03T06:10:01.548-0500,101,1,108
06:10:02.548,1775214602.548,2026-04-03T06:10:02.548-0500,101,1,109
06:10:03.548,1775214603.548,2026-04-03T06:10:03.548-0500,102,1,110
06:10:04.548,1775214604.548,2026-04-03T06:10:04.548-0500,102,1,111
06:10:05.548,1775214605.548,2026-04-03T06:10:05.548-0500,103,1,112
06:10:06.548,1775214606.548,2026-04-03T06:10:06.548-0500,103,1,113
06:10:07.548,1775214607.548,2026-04-03T06:10:07.548-0500,104,1,114
06:10:08.548,1775214608.548,2026-04-03T06:10:08.548-0500,104,1,115
06:10:09.548,1775214609.548,2026-04-03T06:10:09.548-0500,104,1,116
06:10:10.548,1775214610.548,2026-04-03T06:10:10.548-0500,105,1,117
06:10:11.548,1775214611.548,2026-04-03T06:10:11.548-0500,105,1,118
06:10:12.548,1775214612.548,2026-04-03T06:10:12.548-0500,105,1,119
06:10:13.548,1775214613.548,2026-04-03T06:10:13.548-0500,105,1,120
06:10:14.548,1775214614.548,2026-04-03T06:10:14.548-0500,105,1,121
06:10:15.548,1775214615.548,2026-04-03T06:10:15.548-0500,106,1,122
06:10:16.548,1775214616.548,2026-04-03T06:10:16.548-0500,106,1,123
06:10:17.548,1775214617.548,2026-04-03T06:10:17.548-0500,106,1,124
06:10:18.548,1775214618.548,2026-04-03T06:10:18.548-0500,106,1,125
06:10:19.548,1775214619.548,2026-04-03T06:10:19.548-0500,106,1,126
06:10:20.548,1775214620.548,2026-04-03T06:10:20.548-0500,106,1,127
06:10:21.548,1775214621.548,2026-04-03T06:10:21.548-0500,106,1,128
06:10:22.548,1775214622.548,2026-04-03T06:10:22.548-0500,107,1,129
06:10:23.548,1775214623.548,2026-04-03T06:10:23.548-0500,107,1,130
06:10:24.548,1775214624.548,2026-04-03T06:10:24.548-0500,108,1,131
06:10:25.548,1775214625.548,2026-04-03T06:10:25.548-0500,108,1,132
06:10:26.548,1775214626.548,2026-04-03T06:10:26.548-0500,108,1,133
06:10:27.548,1775214627.548,2026-04-03T06:10:27.548-0500,107,1,134
06:10:28.548,1775214628.548,2026-04-03T06:10:28.548-0500,107,1,135
06:10:29.548,1775214629.548,2026-04-03T06:10:29.548-0500,106,1,136
06:10:30.548,1775214630.548,2026-04-03T06:10:30.548-0500,106,1,137
06:10:31.548,1775214631.548,2026-04-03T06:10:31.548-0500,105,1,138
06:10:32.548,1775214632.548,2026-04-03T06:10:32.548-0500,104,1,139
06:10:33.548,1775214633.548,2026-04-03T06:10:33.548-0500,104,1,140
06:10:34.548,1775214634.548,2026-04-03T06:10:34.548-0500,103,1,141
06:10:35.548,1775214635.548,2026-04-03T06:10:35.548-0500,103,1,142
06:10:36.548,1775214636.548,2026-04-03T06:10:36.548-0500,103,1,143
06:10:37.548,1775214637.548,2026-04-03T06:10:37.548-0500,103,1,144
06:10:38.548,1775214638.548,2026-04-03T06:10:38.548-0500,103,1,145
06:10:39.548,1775214639.548,2026-04-03T06:10:39.548-0500,103,1,146
06:10:40.548,1775214640.548,2026-04-03T06:10:40.548-0500,103,1,147
06:10:41.548,1775214641.548,2026-04-03T06:10:41.548-0500,103,1,148
06:10:42.548,1775214642.548,2026-04-03T06:10:42.548-0500,103,1,149
06:10:43.548,1775214643.548,2026-04-03T06:10:43.548-0500,103,1,150
06:10:44.548,1775214644.548,2026-04-03T06:10:44.548-0500,102,1,151
06:10:45.548,1775214645.548,2026-04-03T06:10:45.548-0500,102,1,152
06:10:46.548,1775214646.548,2026-04-03T06:10:46.548-0500,103,1,153
06:10:47.548,1775214647.548,2026-04-03T06:10:47.548-0500,103,1,154
06:10:48.548,1775214648.548,2026-04-03T06:10:48.548-0500,103,1,155
06:10:49.548,1775214649.548,2026-04-03T06:10:49.548-0500,103,1,156
06:10:50.548,1775214650.548,2026-04-03T06:10:50.548-0500,104,1,157
06:10:51.548,1775214651.548,2026-04-03T06:10:51.548-0500,104,1,158
06:10:52.548,1775214652.548,2026-04-03T06:10:52.548-0500,104,1,159
06:10:53.548,1775214653.548,2026-04-03T06:10:53.548-0500,105,1,160
06:10:54.548,1775214654.548,2026-04-03T06:10:54.548-0500,105,1,161
06:10:55.548,1775214655.548,2026-04-03T06:10:55.548-0500,106,1,162
06:10:56.548,1775214656.548,2026-04-03T06:10:56.548-0500,106,1,163
06:10:57.548,1775214657.548,2026-04-03T06:10:57.548-0500,107,1,164
06:10:58.548,1775214658.548,2026-04-03T06:10:58.548-0500,107,1,165
