Date, Workout Type, Calories, Time, Distance, Pace, Heart Rate, Elevation
2/21/26,Running,"215" kcal, 37min,"2.21" mi,"16m 54s","115 bpm","0 m"
2/22/26,Running,"159" kcal, 2hr 25min,"0" mi,"0s","73 bpm","0 m"
2/23/26,Running,"142" kcal, 17min,"1.39" mi,"12m 27s","134 bpm","0 m"
2/24/26,Running,"34" kcal, 3min,"0.31" mi,"12m 42s","150 bpm","0 m"
2/26/26,Running,"108" kcal, 12min,"1.11" mi,"11m 20s","144 bpm","0.55 m"
2/26/26,Running,"38" kcal, 3min,"0.36" mi,"9m 40s","137 bpm","4.52 m"
2/27/26,Running,"221" kcal, 23min,"2.21" mi,"10m 45s","147 bpm","50.69 m"
3/4/26,Running,"324" kcal, 44min,"3.37" mi,"13m 3s","129 bpm","7.69 m"
3/7/26,Running,"291" kcal, 38min,"3.07" mi,"12m 32s","163 bpm","39.86 m"
3/12/26,Running,"141" kcal, 18min,"1.51" mi,"12m 13s","132 bpm","2.29 m"
3/14/26,Running,"305" kcal, 41min,"3.01" mi,"13m 37s","136 bpm","4.27 m"
3/18/26,Running,"219" kcal, 27min,"2.01" mi,"13m 37s","143 bpm","11.73 m"
3/19/26,Running,"35" kcal, 3min,"0.37" mi,"9m 52s","134 bpm","2.62 m"
3/22/26,Running,"335" kcal, 37min,"3.02" mi,"12m 26s","147 bpm","4.96 m"
3/24/26,Running,"36" kcal, 3min,"0.37" mi,"9m 58s","138 bpm","10.93 m"
3/25/26,Running,"196" kcal, 24min,"2.03" mi,"11m 49s","135 bpm","2.44 m"
3/29/26,Running,"304" kcal, 37min,"3.02" mi,"12m 21s","146 bpm","7.27 m"
3/30/26,Running,"203" kcal, 21min,"2.01" mi,"10m 47s","149 bpm","22.68 m"
3/31/26,Running,"37" kcal, 3min,"0.38" mi,"9m 59s","137 bpm","2.87 m"
4/3/26,Running,"202" kcal, 22min,"2.02" mi,"11m 13s","133 bpm","1.45 m"
4/5/26,Running,"303" kcal, 33min,"3.02" mi,"11m 6s","151 bpm","53.06 m"
5/7/24,Walking,"50" kcal, 17min,"0.51" mi,"34m 42s","101 bpm","0 m"
5/9/24,Walking,"78" kcal, 22min,"0.73" mi,"30m 58s","113 bpm","9.81 m"
