Date, Workout Type, Calories, Time, Distance, Pace, Heart Rate, Elevation
1/28/26,Traditional Strength Training,"110" kcal, 35min,"0" mi,"0s","119 bpm","0 m"
1/29/26,Traditional Strength Training,"60" kcal, 10min,"0" mi,"0s","118 bpm","0 m"
1/29/26,Traditional Strength Training,"89" kcal, 21min,"0" mi,"0s","106 bpm","0 m"
2/2/26,Traditional Strength Training,"120" kcal, 20min,"0" mi,"0s","78 bpm","0 m"
2/3/26,Traditional Strength Training,"100" kcal, 40min,"0" mi,"0s","74 bpm","0 m"
2/4/26,Traditional Strength Training,"132" kcal, 33min,"0" mi,"0s","90 bpm","0 m"
2/5/26,Traditional Strength Training,"200" kcal, 29min,"0" mi,"0s","102 bpm","0 m"
2/5/26,Traditional Strength Training,"311" kcal, 0min,"0" mi,"0s","0 bpm","0 m"
2/6/26,Traditional Strength Training,"71" kcal, 27min,"0" mi,"0s","111 bpm","0 m"
2/7/26,Traditional Strength Training,"181" kcal, 15min,"0" mi,"0s","123 bpm","0 m"
2/10/26,Traditional Strength Training,"225" kcal, 35min,"0" mi,"0s","77 bpm","0 m"
2/11/26,Traditional Strength Training,"140" kcal, 35min,"0" mi,"0s","111 bpm","0 m"
2/12/26,Traditional Strength Training,"257" kcal, 45min,"0" mi,"0s","97 bpm","0 m"
2/12/26,Traditional Strength Training,"248" kcal, 1hr 3min,"0" mi,"0s","98 bpm","0 m"
2/17/26,Traditional Strength Training,"35" kcal, 6min,"0" mi,"0s","118 bpm","0 m"
2/19/26,Traditional Strength Training,"105" kcal, 25min,"0" mi,"0s","107 bpm","0 m"
2/20/26,Traditional Strength Training,"82" kcal, 20min,"0" mi,"0s","103 bpm","0 m"
2/23/26,Traditional Strength Training,"101" kcal, 25min,"0" mi,"0s","109 bpm","0 m"
2/24/26,Traditional Strength Training,"345" kcal, 1hr 8min,"0" mi,"0s","113 bpm","0 m"
2/26/26,Traditional Strength Training,"266" kcal, 1hr 6min,"0" mi,"0s","106 bpm","0 m"
3/2/26,Traditional Strength Training,"139" kcal, 34min,"0" mi,"0s","106 bpm","0 m"
3/3/26,Traditional Strength Training,"306" kcal, 1hr 6min,"0" mi,"0s","110 bpm","0 m"
3/4/26,Traditional Strength Training,"198" kcal, 40min,"0" mi,"0s","115 bpm","0 m"
3/5/26,Traditional Strength Training,"283" kcal, 1hr 11min,"0" mi,"0s","97 bpm","0 m"
3/11/26,Traditional Strength Training,"111" kcal, 20min,"0" mi,"0s","118 bpm","0 m"
3/12/26,Traditional Strength Training,"146" kcal, 35min,"0" mi,"0s","105 bpm","0 m"
3/16/26,Traditional Strength Training,"176" kcal, 42min,"0" mi,"0s","95 bpm","0 m"
3/17/26,Traditional Strength Training,"339" kcal, 1hr 2min,"0" mi,"0s","119 bpm","0 m"
3/19/26,Traditional Strength Training,"276" kcal, 1hr 3min,"0" mi,"0s","111 bpm","0 m"
3/23/26,Traditional Strength Training,"151" kcal, 38min,"0" mi,"0s","88 bpm","0 m"
3/24/26,Traditional Strength Training,"41" kcal, 10min,"0" mi,"0s","83 bpm","0 m"
3/24/26,Traditional Strength Training,"308" kcal, 1hr 4min,"0" mi,"0s","112 bpm","0 m"
3/29/26,Traditional Strength Training,"72" kcal, 17min,"0" mi,"0s","103 bpm","0 m"
3/30/26,Traditional Strength Training,"164" kcal, 41min,"0" mi,"0s","101 bpm","0 m"
3/31/26,Traditional Strength Training,"374" kcal, 1hr 25min,"0" mi,"0s","109 bpm","0 m"
4/2/26,Traditional Strength Training,"263" kcal, 1hr 2min,"0" mi,"0s","107 bpm","0 m"
4/3/26,Traditional Strength Training,"201" kcal, 49min,"0" mi,"0s","107 bpm","0 m"
4/6/26,Traditional Strength Training,"85" kcal, 21min,"0" mi,"0s","91 bpm","0 m"
